Row: 6, Col: 7, Direction: 1, Word: QUA, Score: 3
Row: 5, Col: 7, Direction: 0, Word: QUA, Score: 3
Row: 4, Col: 6, Direction: 0, Word: BA, Score: 2
Row: 6, Col: 6, Direction: 1, Word: AB, Score: 2
Row: 6, Col: 4, Direction: 2, Word: BA, Score: 2
Row: 5, Col: 6, Direction: 0, Word: BA, Score: 2
Row: 7, Col: 6, Direction: 1, Word: AB, Score: 2
Row: 7, Col: 4, Direction: 2, Word: BA, Score: 2
Row: 3, Col: 7, Direction: 0, Word: BA, Score: 2
Row: 5, Col: 5, Direction: 2, Word: BA, Score: 2
Row: 5, Col: 7, Direction: 3, Word: AB, Score: 2
Row: 8, Col: 7, Direction: 1, Word: AB, Score: 2
Row: 8, Col: 5, Direction: 2, Word: BA, Score: 2
Row: 8, Col: 7, Direction: 3, Word: AB, Score: 2
Row: 4, Col: 8, Direction: 0, Word: BA, Score: 2
Row: 6, Col: 8, Direction: 1, Word: AB, Score: 2
Row: 6, Col: 8, Direction: 3, Word: AB, Score: 2
Row: 5, Col: 8, Direction: 0, Word: BA, Score: 2
Row: 7, Col: 8, Direction: 1, Word: AB, Score: 2
Row: 7, Col: 8, Direction: 3, Word: AB, Score: 2
Row: 1, Col: 6, Direction: 0, Word: CEIBA, Score: 5
Row: 6, Col: 1, Direction: 2, Word: CEIBA, Score: 5
Row: 2, Col: 6, Direction: 0, Word: CEIBA, Score: 5
Row: 7, Col: 1, Direction: 2, Word: CEIBA, Score: 5
Row: 0, Col: 7, Direction: 0, Word: CEIBA, Score: 5
Row: 5, Col: 2, Direction: 2, Word: CEIBA, Score: 5
Row: 8, Col: 2, Direction: 2, Word: CEIBA, Score: 5
Row: 1, Col: 8, Direction: 0, Word: CEIBA, Score: 5
Row: 2, Col: 8, Direction: 0, Word: CEIBA, Score: 5
Row: 6, Col: 6, Direction: 0, Word: ACE, Score: 3
Row: 6, Col: 6, Direction: 1, Word: ACE, Score: 3
Row: 6, Col: 6, Direction: 2, Word: ACE, Score: 3
Row: 7, Col: 6, Direction: 0, Word: ACE, Score: 3
Row: 7, Col: 6, Direction: 1, Word: ACE, Score: 3
Row: 7, Col: 6, Direction: 2, Word: ACE, Score: 3
Row: 5, Col: 7, Direction: 0, Word: ACE, Score: 3
Row: 5, Col: 7, Direction: 2, Word: ACE, Score: 3
Row: 5, Col: 7, Direction: 3, Word: ACE, Score: 3
Row: 8, Col: 7, Direction: 1, Word: ACE, Score: 3
Row: 8, Col: 7, Direction: 2, Word: ACE, Score: 3
Row: 8, Col: 7, Direction: 3, Word: ACE, Score: 3
Row: 6, Col: 8, Direction: 0, Word: ACE, Score: 3
Row: 6, Col: 8, Direction: 1, Word: ACE, Score: 3
