Row: 6, Col: 7, Direction: 1, Word: BA, Score: 4
Row: 6, Col: 7, Direction: 0, Word: AB, Score: 4
Row: 7, Col: 6, Direction: 3, Word: BA, Score: 4
Row: 7, Col: 5, Direction: 2, Word: AB, Score: 4
Row: 6, Col: 7, Direction: 0, Word: ABED, Score: 7
Row: 7, Col: 5, Direction: 2, Word: ABED, Score: 7
Row: 6, Col: 7, Direction: 0, Word: ACE, Score: 5
Row: 7, Col: 5, Direction: 2, Word: ACE, Score: 5
Row: 6, Col: 7, Direction: 0, Word: ACED, Score: 7
Row: 7, Col: 5, Direction: 2, Word: ACED, Score: 7
Row: 6, Col: 7, Direction: 1, Word: DA, Score: 3
Row: 6, Col: 7, Direction: 0, Word: AD, Score: 3
Row: 7, Col: 6, Direction: 3, Word: DA, Score: 3
Row: 7, Col: 5, Direction: 2, Word: AD, Score: 3
Row: 6, Col: 7, Direction: 1, Word: EA, Score: 2
Row: 6, Col: 7, Direction: 0, Word: AE, Score: 2
Row: 7, Col: 6, Direction: 3, Word: EA, Score: 2
Row: 7, Col: 5, Direction: 2, Word: AE, Score: 2
Row: 6, Col: 7, Direction: 1, Word: FA, Score: 5
Row: 7, Col: 6, Direction: 3, Word: FA, Score: 5
Row: 6, Col: 7, Direction: 0, Word: AG, Score: 3
Row: 7, Col: 5, Direction: 2, Word: AG, Score: 3
Row: 6, Col: 7, Direction: 0, Word: AGE, Score: 4
Row: 7, Col: 5, Direction: 2, Word: AGE, Score: 4
Row: 6, Col: 7, Direction: 0, Word: AGED, Score: 6
Row: 7, Col: 5, Direction: 2, Word: AGED, Score: 6
Row: 6, Col: 7, Direction: 1, Word: AB, Score: 4
Row: 6, Col: 7, Direction: 0, Word: BA, Score: 4
Row: 7, Col: 6, Direction: 3, Word: AB, Score: 4
Row: 7, Col: 5, Direction: 2, Word: BA, Score: 4
Row: 5, Col: 7, Direction: 1, Word: CAB, Score: 10
Row: 6, Col: 7, Direction: 0, Word: BAC, Score: 7
Row: 7, Col: 5, Direction: 3, Word: CAB, Score: 10
Row: 7, Col: 5, Direction: 2, Word: BAC, Score: 7
Row: 5, Col: 7, Direction: 1, Word: DAB, Score: 9
Row: 6, Col: 7, Direction: 0, Word: BAD, Score: 6
Row: 7, Col: 5, Direction: 3, Word: DAB, Score: 9
Row: 7, Col: 5, Direction: 2, Word: BAD, Score: 6
Row: 6, Col: 7, Direction: 0, Word: BADE, Score: 7
Row: 7, Col: 5, Direction: 2, Word: BADE, Score: 7
Row: 6, Col: 7, Direction: 0, Word: BADGE, Score: 9
Row: 7, Col: 5, Direction: 2, Word: BADGE, Score: 9
Row: 6, Col: 7, Direction: 0, Word: BAE, Score: 5
Row: 7, Col: 5, Direction: 2, Word: BAE, Score: 5
Row: 5, Col: 7, Direction: 1, Word: FAB, Score: 11
Row: 7, Col: 5, Direction: 3, Word: FAB, Score: 11
Row: 5, Col: 7, Direction: 1, Word: GAB, Score: 9
Row: 6, Col: 7, Direction: 0, Word: BAG, Score: 6
Row: 7, Col: 5, Direction: 3, Word: GAB, Score: 9
Row: 7, Col: 5, Direction: 2, Word: BAG, Score: 6
Row: 6, Col: 7, Direction: 0, Word: BE, Score: 4
Row: 7, Col: 5, Direction: 2, Word: BE, Score: 4
Row: 6, Col: 7, Direction: 0, Word: BEAD, Score: 7
Row: 7, Col: 5, Direction: 2, Word: BEAD, Score: 7
Row: 5, Col: 7, Direction: 1, Word: DEB, Score: 9
Row: 6, Col: 7, Direction: 0, Word: BED, Score: 6
Row: 7, Col: 5, Direction: 3, Word: DEB, Score: 9
Row: 7, Col: 5, Direction: 2, Word: BED, Score: 6
Row: 6, Col: 7, Direction: 0, Word: BEG, Score: 6
Row: 7, Col: 5, Direction: 2, Word: BEG, Score: 6
Row: 6, Col: 7, Direction: 0, Word: BEGAD, Score: 9
Row: 7, Col: 5, Direction: 2, Word: BEGAD, Score: 9
Row: 5, Col: 7, Direction: 1, Word: BAC, Score: 10
Row: 6, Col: 7, Direction: 0, Word: CAB, Score: 7
Row: 7, Col: 5, Direction: 3, Word: BAC, Score: 10
Row: 7, Col: 5, Direction: 2, Word: CAB, Score: 7
Row: 6, Col: 7, Direction: 0, Word: CAD, Score: 6
Row: 7, Col: 5, Direction: 2, Word: CAD, Score: 6
Row: 6, Col: 7, Direction: 0, Word: CADE, Score: 7
Row: 7, Col: 5, Direction: 2, Word: CADE, Score: 7
Row: 6, Col: 7, Direction: 0, Word: CADGE, Score: 9
Row: 7, Col: 5, Direction: 2, Word: CADGE, Score: 9
Row: 6, Col: 7, Direction: 0, Word: CAF, Score: 8
Row: 7, Col: 5, Direction: 2, Word: CAF, Score: 8
Row: 6, Col: 7, Direction: 0, Word: CAFE, Score: 9
Row: 7, Col: 5, Direction: 2, Word: CAFE, Score: 9
Row: 6, Col: 7, Direction: 0, Word: CAG, Score: 6
Row: 7, Col: 5, Direction: 2, Word: CAG, Score: 6
Row: 6, Col: 7, Direction: 0, Word: CAGE, Score: 7
Row: 7, Col: 5, Direction: 2, Word: CAGE, Score: 7
Row: 6, Col: 7, Direction: 0, Word: CAGED, Score: 9
