Row: 6, Col: 7, Direction: 1, Word: AT, Score: 2
Row: 6, Col: 7, Direction: 0, Word: TA, Score: 2
Row: 6, Col: 8, Direction: 1, Word: AE, Score: 3
Row: 6, Col: 8, Direction: 0, Word: EA, Score: 3
Row: 6, Col: 9, Direction: 1, Word: AR, Score: 4
Row: 6, Col: 6, Direction: 1, Word: BA, Score: 7
Row: 6, Col: 6, Direction: 0, Word: AB, Score: 5
Row: 6, Col: 6, Direction: 3, Word: BA, Score: 7
Row: 6, Col: 5, Direction: 2, Word: AB, Score: 7
Row: 5, Col: 7, Direction: 1, Word: BAT, Score: 6
Row: 6, Col: 7, Direction: 0, Word: TAB, Score: 5
Row: 8, Col: 6, Direction: 3, Word: BA, Score: 7
Row: 8, Col: 5, Direction: 2, Word: AB, Score: 7
Row: 6, Col: 7, Direction: 3, Word: BA, Score: 5
Row: 6, Col: 6, Direction: 2, Word: AB, Score: 5
Row: 5, Col: 8, Direction: 1, Word: BAE, Score: 5
Row: 8, Col: 7, Direction: 3, Word: BA, Score: 5
Row: 8, Col: 6, Direction: 2, Word: AB, Score: 5
Row: 5, Col: 9, Direction: 0, Word: ARB, Score: 7
Row: 6, Col: 8, Direction: 3, Word: BA, Score: 7
Row: 6, Col: 7, Direction: 2, Word: AB, Score: 7
Row: 5, Col: 9, Direction: 1, Word: BAR, Score: 11
Row: 6, Col: 9, Direction: 1, Word: BRA, Score: 7
Row: 8, Col: 8, Direction: 3, Word: BA, Score: 7
Row: 8, Col: 7, Direction: 2, Word: AB, Score: 7
Row: 6, Col: 10, Direction: 1, Word: BA, Score: 4
Row: 6, Col: 10, Direction: 0, Word: AB, Score: 4
Row: 5, Col: 6, Direction: 1, Word: OBA, Score: 5
Row: 6, Col: 6, Direction: 0, Word: ABO, Score: 7
Row: 6, Col: 5, Direction: 3, Word: OBA, Score: 5
Row: 6, Col: 5, Direction: 2, Word: ABO, Score: 8
Row: 8, Col: 5, Direction: 3, Word: OBA, Score: 5
Row: 8, Col: 5, Direction: 2, Word: ABO, Score: 8
Row: 6, Col: 6, Direction: 3, Word: OBA, Score: 6
Row: 6, Col: 6, Direction: 2, Word: ABO, Score: 7
Row: 8, Col: 6, Direction: 3, Word: OBA, Score: 6
Row: 8, Col: 6, Direction: 2, Word: ABO, Score: 7
Row: 6, Col: 7, Direction: 3, Word: OBA, Score: 8
Row: 6, Col: 7, Direction: 2, Word: ABO, Score: 8
Row: 8, Col: 7, Direction: 3, Word: OBA, Score: 8
Row: 8, Col: 7, Direction: 2, Word: ABO, Score: 8
